--- split 4/5 of beppyo-5.txt ---
| ５，６２４，０００ | ５，６２８，０００ | ４，０５９，２００ | ５，８２４，０００ | ５，８２８，０００ | ４，２１９，２００ | ６，０２４，０００ | ６，０２８，０００ | ４，３７９，２００ |
| ５，６２８，０００ | ５，６３２，０００ | ４，０６２，４００ | ５，８２８，０００ | ５，８３２，０００ | ４，２２２，４００ | ６，０２８，０００ | ６，０３２，０００ | ４，３８２，４００ |
| ５，６３２，０００ | ５，６３６，０００ | ４，０６５，６００ | ５，８３２，０００ | ５，８３６，０００ | ４，２２５，６００ | ６，０３２，０００ | ６，０３６，０００ | ４，３８５，６００ |
| ５，６３６，０００ | ５，６４０，０００ | ４，０６８，８００ | ５，８３６，０００ | ５，８４０，０００ | ４，２２８，８００ | ６，０３６，０００ | ６，０４０，０００ | ４，３８８，８００ |
|  |  |  |  |  |  |  |  |  |
| ５，６４０，０００ | ５，６４４，０００ | ４，０７２，０００ | ５，８４０，０００ | ５，８４４，０００ | ４，２３２，０００ | ６，０４０，０００ | ６，０４４，０００ | ４，３９２，０００ |
| ５，６４４，０００ | ５，６４８，０００ | ４，０７５，２００ | ５，８４４，０００ | ５，８４８，０００ | ４，２３５，２００ | ６，０４４，０００ | ６，０４８，０００ | ４，３９５，２００ |
| ５，６４８，０００ | ５，６５２，０００ | ４，０７８，４００ | ５，８４８，０００ | ５，８５２，０００ | ４，２３８，４００ | ６，０４８，０００ | ６，０５２，０００ | ４，３９８，４００ |
| ５，６５２，０００ | ５，６５６，０００ | ４，０８１，６００ | ５，８５２，０００ | ５，８５６，０００ | ４，２４１，６００ | ６，０５２，０００ | ６，０５６，０００ | ４，４０１，６００ |
| ５，６５６，０００ | ５，６６０，０００ | ４，０８４，８００ | ５，８５６，０００ | ５，８６０，０００ | ４，２４４，８００ | ６，０５６，０００ | ６，０６０，０００ | ４，４０４，８００ |

### （八）
| 給与等の金額 | 給与所得控除後の給与等の金額 | 給与等の金額 | 給与所得控除後の給与等の金額 | 給与等の金額 | 給与所得控除後の給与等の金額 |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 以上 | 給与所得控除後の給与等の金額 | 未満 | 給与所得控除後の給与等の金額 | 以上 | 給与所得控除後の給与等の金額 | 未満 | 以上 | 未満 |
| 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 |
| ６，０６０，０００ | ６，０６４，０００ | ４，４０８，０００ | ６，２６０，０００ | ６，２６４，０００ | ４，５６８，０００ | ６，４６０，０００ | ６，４６４，０００ | ４，７２８，０００ |
| ６，０６４，０００ | ６，０６８，０００ | ４，４１１，２００ | ６，２６４，０００ | ６，２６８，０００ | ４，５７１，２００ | ６，４６４，０００ | ６，４６８，０００ | ４，７３１，２００ |
| ６，０６８，０００ | ６，０７２，０００ | ４，４１４，４００ | ６，２６８，０００ | ６，２７２，０００ | ４，５７４，４００ | ６，４６８，０００ | ６，４７２，０００ | ４，７３４，４００ |
| ６，０７２，０００ | ６，０７６，０００ | ４，４１７，６００ | ６，２７２，０００ | ６，２７６，０００ | ４，５７７，６００ | ６，４７２，０００ | ６，４７６，０００ | ４，７３７，６００ |
| ６，０７６，０００ | ６，０８０，０００ | ４，４２０，８００ | ６，２７６，０００ | ６，２８０，０００ | ４，５８０，８００ | ６，４７６，０００ | ６，４８０，０００ | ４，７４０，８００ |
|  |  |  |  |  |  |  |  |  |
| ６，０８０，０００ | ６，０８４，０００ | ４，４２４，０００ | ６，２８０，０００ | ６，２８４，０００ | ４，５８４，０００ | ６，４８０，０００ | ６，４８４，０００ | ４，７４４，０００ |
| ６，０８４，０００ | ６，０８８，０００ | ４，４２７，２００ | ６，２８４，０００ | ６，２８８，０００ | ４，５８７，２００ | ６，４８４，０００ | ６，４８８，０００ | ４，７４７，２００ |
| ６，０８８，０００ | ６，０９２，０００ | ４，４３０，４００ | ６，２８８，０００ | ６，２９２，０００ | ４，５９０，４００ | ６，４８８，０００ | ６，４９２，０００ | ４，７５０，４００ |
| ６，０９２，０００ | ６，０９６，０００ | ４，４３３，６００ | ６，２９２，０００ | ６，２９６，０００ | ４，５９３，６００ | ６，４９２，０００ | ６，４９６，０００ | ４，７５３，６００ |
| ６，０９６，０００ | ６，１００，０００ | ４，４３６，８００ | ６，２９６，０００ | ６，３００，０００ | ４，５９６，８００ | ６，４９６，０００ | ６，５００，０００ | ４，７５６，８００ |
|  |  |  |  |  |  |  |  |  |
| ６，１００，０００ | ６，１０４，０００ | ４，４４０，０００ | ６，３００，０００ | ６，３０４，０００ | ４，６００，０００ | ６，５００，０００ | ６，５０４，０００ | ４，７６０，０００ |
| ６，１０４，０００ | ６，１０８，０００ | ４，４４３，２００ | ６，３０４，０００ | ６，３０８，０００ | ４，６０３，２００ | ６，５０４，０００ | ６，５０８，０００ | ４，７６３，２００ |
| ６，１０８，０００ | ６，１１２，０００ | ４，４４６，４００ | ６，３０８，０００ | ６，３１２，０００ | ４，６０６，４００ | ６，５０８，０００ | ６，５１２，０００ | ４，７６６，４００ |
| ６，１１２，０００ | ６，１１６，０００ | ４，４４９，６００ | ６，３１２，０００ | ６，３１６，０００ | ４，６０９，６００ | ６，５１２，０００ | ６，５１６，０００ | ４，７６９，６００ |
