--- split 2/4 of beppyo-2.txt ---
| ６６８，０００ | ６７１，０００ | ５６，８８０ | ５０，５５０ | ４４，２２０ | ３７，８８０ | ３１，５５０ | ２５，２２０ | １９，１３０ | １５，９６０ | ２２０，４００ |
| ６７１，０００ | ６７４，０００ | ５７，４２０ | ５１，０９０ | ４４，７６０ | ３８，４２０ | ３２，０９０ | ２５，７６０ | １９，４２０ | １６，２３０ | ２２１，４００ |
| ６７４，０００ | ６７７，０００ | ５７，９６０ | ５１，６３０ | ４５，３００ | ３８，９６０ | ３２，６３０ | ２６，３００ | １９，９６０ | １６，５００ | ２２２，４００ |
|  |  |  |  |  |  |  |  |  |  |  |
| ６７７，０００ | ６８０，０００ | ５８，５００ | ５２，１７０ | ４５，８４０ | ３９，５００ | ３３，１７０ | ２６，８４０ | ２０，５００ | １６，７７０ | ２２３，４００ |
| ６８０，０００ | ６８３，０００ | ５９，０４０ | ５２，７１０ | ４６，３８０ | ４０，０４０ | ３３，７１０ | ２７，３８０ | ２１，０４０ | １７，０４０ | ２２４，４００ |
| ６８３，０００ | ６８６，０００ | ５９，５８０ | ５３，２５０ | ４６，９２０ | ４０，５８０ | ３４，２５０ | ２７，９２０ | ２１，５８０ | １７，３１０ | ２２５，４００ |
| ６８６，０００ | ６８９，０００ | ６０，１２０ | ５３，７９０ | ４７，４６０ | ４１，１２０ | ３４，７９０ | ２８，４６０ | ２２，１２０ | １７，５８０ | ２２６，７００ |
| ６８９，０００ | ６９２，０００ | ６０，６６０ | ５４，３３０ | ４８，０００ | ４１，６６０ | ３５，３３０ | ２９，０００ | ２２，６６０ | １７，８５０ | ２２８，２００ |
|  |  |  |  |  |  |  |  |  |  |  |
| ６９２，０００ | ６９５，０００ | ６１，２００ | ５４，８７０ | ４８，５４０ | ４２，２００ | ３５，８７０ | ２９，５４０ | ２３，２００ | １８，１２０ | ２２９，７００ |
| ６９５，０００ | ６９８，０００ | ６１，７４０ | ５５，４１０ | ４９，０８０ | ４２，７４０ | ３６，４１０ | ３０，０８０ | ２３，７４０ | １８，３９０ | ２３１，２００ |
| ６９８，０００ | ７０１，０００ | ６２，２８０ | ５５，９５０ | ４９，６２０ | ４３，２８０ | ３６，９５０ | ３０，６２０ | ２４，２８０ | １８，６６０ | ２３２，７００ |
| ７０１，０００ | ７０４，０００ | ６２，８２０ | ５６，４９０ | ５０，１６０ | ４３，８２０ | ３７，４９０ | ３１，１６０ | ２４，８２０ | １８，９３０ | ２３４，２００ |
| ７０４，０００ | ７０７，０００ | ６３，３６０ | ５７，０３０ | ５０，７００ | ４４，３６０ | ３８，０３０ | ３１，７００ | ２５，３６０ | １９，２００ | ２３５，８００ |
|  |  |  |  |  |  |  |  |  |  |  |
| ７０７，０００ | ７１０，０００ | ６３，９１０ | ５７，５７０ | ５１，２４０ | ４４，９１０ | ３８，５７０ | ３２，２４０ | ２５，９１０ | １９，５７０ | ２３７，３００ |
| ７１０，０００ | ７１３，０００ | ６４，５１０ | ５８，１７０ | ５１，８４０ | ４５，５１０ | ３９，１７０ | ３２，８４０ | ２６，５１０ | ２０，１７０ | ２３８，８００ |
| ７１３，０００ | ７１６，０００ | ６５，１１０ | ５８，７７０ | ５２，４４０ | ４６，１１０ | ３９，７７０ | ３３，４４０ | ２７，１１０ | ２０，７７０ | ２４０，３００ |
| ７１６，０００ | ７１９，０００ | ６５，７１０ | ５９，３７０ | ５３，０４０ | ４６，７１０ | ４０，３７０ | ３４，０４０ | ２７，７１０ | ２１，３７０ | ２４１，８００ |
| ７１９，０００ | ７２２，０００ | ６６，３１０ | ５９，９７０ | ５３，６４０ | ４７，３１０ | ４０，９７０ | ３４，６４０ | ２８，３１０ | ２１，９７０ | ２４３，３００ |
|  |  |  |  |  |  |  |  |  |  |  |
