--- split 2/5 of beppyo-5.txt ---
| ３，２１６，０００ | ３，２２０，０００ | ２，１７１，２００ | ３，４１６，０００ | ３，４２０，０００ | ２，３１１，２００ | ３，６１６，０００ | ３，６２０，０００ | ２，４５２，８００ |
|  |  |  |  |  |  |  |  |  |
| ３，２２０，０００ | ３，２２４，０００ | ２，１７４，０００ | ３，４２０，０００ | ３，４２４，０００ | ２，３１４，０００ | ３，６２０，０００ | ３，６２４，０００ | ２，４５６，０００ |
| ３，２２４，０００ | ３，２２８，０００ | ２，１７６，８００ | ３，４２４，０００ | ３，４２８，０００ | ２，３１６，８００ | ３，６２４，０００ | ３，６２８，０００ | ２，４５９，２００ |
| ３，２２８，０００ | ３，２３２，０００ | ２，１７９，６００ | ３，４２８，０００ | ３，４３２，０００ | ２，３１９，６００ | ３，６２８，０００ | ３，６３２，０００ | ２，４６２，４００ |
| ３，２３２，０００ | ３，２３６，０００ | ２，１８２，４００ | ３，４３２，０００ | ３，４３６，０００ | ２，３２２，４００ | ３，６３２，０００ | ３，６３６，０００ | ２，４６５，６００ |
| ３，２３６，０００ | ３，２４０，０００ | ２，１８５，２００ | ３，４３６，０００ | ３，４４０，０００ | ２，３２５，２００ | ３，６３６，０００ | ３，６４０，０００ | ２，４６８，８００ |
|  |  |  |  |  |  |  |  |  |
| ３，２４０，０００ | ３，２４４，０００ | ２，１８８，０００ | ３，４４０，０００ | ３，４４４，０００ | ２，３２８，０００ | ３，６４０，０００ | ３，６４４，０００ | ２，４７２，０００ |
| ３，２４４，０００ | ３，２４８，０００ | ２，１９０，８００ | ３，４４４，０００ | ３，４４８，０００ | ２，３３０，８００ | ３，６４４，０００ | ３，６４８，０００ | ２，４７５，２００ |
| ３，２４８，０００ | ３，２５２，０００ | ２，１９３，６００ | ３，４４８，０００ | ３，４５２，０００ | ２，３３３，６００ | ３，６４８，０００ | ３，６５２，０００ | ２，４７８，４００ |
| ３，２５２，０００ | ３，２５６，０００ | ２，１９６，４００ | ３，４５２，０００ | ３，４５６，０００ | ２，３３６，４００ | ３，６５２，０００ | ３，６５６，０００ | ２，４８１，６００ |
| ３，２５６，０００ | ３，２６０，０００ | ２，１９９，２００ | ３，４５６，０００ | ３，４６０，０００ | ２，３３９，２００ | ３，６５６，０００ | ３，６６０，０００ | ２，４８４，８００ |

### （四）
| 給与等の金額 | 給与所得控除後の給与等の金額 | 給与等の金額 | 給与所得控除後の給与等の金額 | 給与等の金額 | 給与所得控除後の給与等の金額 |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 以上 | 給与所得控除後の給与等の金額 | 未満 | 給与所得控除後の給与等の金額 | 以上 | 給与所得控除後の給与等の金額 | 未満 | 以上 | 未満 |
