--- split 3/5 of beppyo-5.txt ---
| ４，８６８，０００ | ４，８７２，０００ | ３，４５４，４００ | ５，０６８，０００ | ５，０７２，０００ | ３，６１４，４００ | ５，２６８，０００ | ５，２７２，０００ | ３，７７４，４００ |
| ４，８７２，０００ | ４，８７６，０００ | ３，４５７，６００ | ５，０７２，０００ | ５，０７６，０００ | ３，６１７，６００ | ５，２７２，０００ | ５，２７６，０００ | ３，７７７，６００ |
| ４，８７６，０００ | ４，８８０，０００ | ３，４６０，８００ | ５，０７６，０００ | ５，０８０，０００ | ３，６２０，８００ | ５，２７６，０００ | ５，２８０，０００ | ３，７８０，８００ |
|  |  |  |  |  |  |  |  |  |
| ４，８８０，０００ | ４，８８４，０００ | ３，４６４，０００ | ５，０８０，０００ | ５，０８４，０００ | ３，６２４，０００ | ５，２８０，０００ | ５，２８４，０００ | ３，７８４，０００ |
| ４，８８４，０００ | ４，８８８，０００ | ３，４６７，２００ | ５，０８４，０００ | ５，０８８，０００ | ３，６２７，２００ | ５，２８４，０００ | ５，２８８，０００ | ３，７８７，２００ |
| ４，８８８，０００ | ４，８９２，０００ | ３，４７０，４００ | ５，０８８，０００ | ５，０９２，０００ | ３，６３０，４００ | ５，２８８，０００ | ５，２９２，０００ | ３，７９０，４００ |
| ４，８９２，０００ | ４，８９６，０００ | ３，４７３，６００ | ５，０９２，０００ | ５，０９６，０００ | ３，６３３，６００ | ５，２９２，０００ | ５，２９６，０００ | ３，７９３，６００ |
| ４，８９６，０００ | ４，９００，０００ | ３，４７６，８００ | ５，０９６，０００ | ５，１００，０００ | ３，６３６，８００ | ５，２９６，０００ | ５，３００，０００ | ３，７９６，８００ |
|  |  |  |  |  |  |  |  |  |
| ４，９００，０００ | ４，９０４，０００ | ３，４８０，０００ | ５，１００，０００ | ５，１０４，０００ | ３，６４０，０００ | ５，３００，０００ | ５，３０４，０００ | ３，８００，０００ |
| ４，９０４，０００ | ４，９０８，０００ | ３，４８３，２００ | ５，１０４，０００ | ５，１０８，０００ | ３，６４３，２００ | ５，３０４，０００ | ５，３０８，０００ | ３，８０３，２００ |
| ４，９０８，０００ | ４，９１２，０００ | ３，４８６，４００ | ５，１０８，０００ | ５，１１２，０００ | ３，６４６，４００ | ５，３０８，０００ | ５，３１２，０００ | ３，８０６，４００ |
| ４，９１２，０００ | ４，９１６，０００ | ３，４８９，６００ | ５，１１２，０００ | ５，１１６，０００ | ３，６４９，６００ | ５，３１２，０００ | ５，３１６，０００ | ３，８０９，６００ |
| ４，９１６，０００ | ４，９２０，０００ | ３，４９２，８００ | ５，１１６，０００ | ５，１２０，０００ | ３，６５２，８００ | ５，３１６，０００ | ５，３２０，０００ | ３，８１２，８００ |
|  |  |  |  |  |  |  |  |  |
| ４，９２０，０００ | ４，９２４，０００ | ３，４９６，０００ | ５，１２０，０００ | ５，１２４，０００ | ３，６５６，０００ | ５，３２０，０００ | ５，３２４，０００ | ３，８１６，０００ |
| ４，９２４，０００ | ４，９２８，０００ | ３，４９９，２００ | ５，１２４，０００ | ５，１２８，０００ | ３，６５９，２００ | ５，３２４，０００ | ５，３２８，０００ | ３，８１９，２００ |
| ４，９２８，０００ | ４，９３２，０００ | ３，５０２，４００ | ５，１２８，０００ | ５，１３２，０００ | ３，６６２，４００ | ５，３２８，０００ | ５，３３２，０００ | ３，８２２，４００ |
| ４，９３２，０００ | ４，９３６，０００ | ３，５０５，６００ | ５，１３２，０００ | ５，１３６，０００ | ３，６６５，６００ | ５，３３２，０００ | ５，３３６，０００ | ３，８２５，６００ |
| ４，９３６，０００ | ４，９４０，０００ | ３，５０８，８００ | ５，１３６，０００ | ５，１４０，０００ | ３，６６８，８００ | ５，３３６，０００ | ５，３４０，０００ | ３，８２８，８００ |
|  |  |  |  |  |  |  |  |  |
| ４，９４０，０００ | ４，９４４，０００ | ３，５１２，０００ | ５，１４０，０００ | ５，１４４，０００ | ３，６７２，０００ | ５，３４０，０００ | ５，３４４，０００ | ３，８３２，０００ |
| ４，９４４，０００ | ４，９４８，０００ | ３，５１５，２００ | ５，１４４，０００ | ５，１４８，０００ | ３，６７５，２００ | ５，３４４，０００ | ５，３４８，０００ | ３，８３５，２００ |
| ４，９４８，０００ | ４，９５２，０００ | ３，５１８，４００ | ５，１４８，０００ | ５，１５２，０００ | ３，６７８，４００ | ５，３４８，０００ | ５，３５２，０００ | ３，８３８，４００ |
