law: 所得税法 (shotokuzei)
law_type: act / law_num: 昭和四十年法律第三十三号 / egov_id: 340AC0000000033 / as_of: 2025-12-27
article: beppyo-3 / title: 別表第三

給与所得の源泉徴収税額表（日額表）（第百八十五条関係）

### （一）
| その日の社会保険料等控除後の給与等の金額 | 甲 | 乙 | 丙 |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| その日の社会保険料等控除後の給与等の金額 | 扶養親族等の数 |  |  |  |  |  |  |  |  |  |  |
| その日の社会保険料等控除後の給与等の金額 | ０人 | １人 | ２人 | ３人 | ４人 | ５人 | ６人 | ７人 |  |  |  |
| 以上 | 未満 | 税額 | 税額 | 税額 |  |  |  |  |  |  |  |
| 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 |
| ３，５００円未満 | ０ | ０ | ０ | ０ | ０ | ０ | ０ | ０ | その日の社会保険料等控除後の給与等の金額の３％に相当する金額 | ０ |  |
|  |  |  |  |  |  |  |  |  | その日の社会保険料等控除後の給与等の金額の３％に相当する金額 |  |  |
| １３，０００ | １３，１００ | ４９０ | ３８５ | ２８０ | ２２０ | １７０ | １１５ | ６５ | １０ | ２，７５０ | １１３ |
| １３，１００ | １３，２００ | ４９５ | ３９０ | ２８５ | ２２５ | １７５ | １２０ | ６５ | １５ | ２，８１０ | １１７ |
| １３，２００ | １３，３００ | ５０５ | ４００ | ２９５ | ２３０ | １７５ | １２５ | ７０ | ２０ | ２，８６０ | １２０ |
| １３，３００ | １３，４００ | ５１５ | ４０５ | ３００ | ２３５ | １８０ | １３０ | ７５ | ２０ | ２，９２０ | １２４ |
| １３，４００ | １３，５００ | ５２０ | ４１５ | ３１０ | ２３５ | １８５ | １３０ | ８０ | ２５ | ２，９７０ | １２７ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| １３，５００ | １３，６００ | ５３０ | ４２５ | ３２０ | ２４０ | １９０ | １３５ | ８５ | ３０ | ３，０３０ | １３１ |
| １３，６００ | １３，７００ | ５３５ | ４３０ | ３２５ | ２４５ | １９５ | １４０ | ８５ | ３５ | ３，０８０ | １３４ |
| １３，７００ | １３，８００ | ５４５ | ４４０ | ３３５ | ２５０ | １９５ | １４５ | ９０ | ４０ | ３，１４０ | １３８ |
| １３，８００ | １３，９００ | ５５５ | ４４５ | ３４０ | ２５５ | ２００ | １５０ | ９５ | ４０ | ３，１９０ | １４２ |
| １３，９００ | １４，０００ | ５６０ | ４５５ | ３５０ | ２５５ | ２０５ | １５０ | １００ | ４５ | ３，２５０ | １４６ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| １４，０００ | １４，１００ | ５７０ | ４６５ | ３６０ | ２６０ | ２１０ | １５５ | １０５ | ５０ | ３，３１０ | １５０ |
| １４，１００ | １４，２００ | ５７５ | ４７０ | ３６５ | ２６５ | ２１５ | １６０ | １０５ | ５５ | ３，３６０ | １５４ |
| １４，２００ | １４，３００ | ５８５ | ４８０ | ３７５ | ２７０ | ２１５ | １６５ | １１０ | ６０ | ３，４２０ | １５８ |
| １４，３００ | １４，４００ | ５９５ | ４８５ | ３８０ | ２７５ | ２２０ | １７０ | １１５ | ６０ | ３，４７０ | １６２ |
| １４，４００ | １４，５００ | ６００ | ４９５ | ３９０ | ２８５ | ２２５ | １７０ | １２０ | ６５ | ３，５３０ | １６６ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| １４，５００ | １４，６００ | ６１０ | ５０５ | ４００ | ２９０ | ２３０ | １７５ | １２５ | ７０ | ３，５８０ | １７０ |
| １４，６００ | １４，７００ | ６１５ | ５１０ | ４０５ | ３００ | ２３５ | １８０ | １２５ | ７５ | ３，６４０ | １７４ |
